Job started at Sat Jun 20 10:33:51 CST 2026
Host: dribe-00
SLURM_JOB_ID=578276
SLURM_CPUS_PER_TASK=36
Rust: rustc 1.96.0 (ac68faa20 2026-05-25)
Cargo: cargo 1.96.0 (30a34c682 2026-05-25)
Thread matrix: 1,2,4,8,16,32,36
Output: results/raw/kabre_results.csv
sequential,no-conflict,1000,1,42,270003.19,correct=Some(true)
static,no-conflict,1000,1,42,182435.78,correct=Some(true)
optimistic,no-conflict,1000,1,42,255432.87,correct=Some(true)
sequential,hotspot,1000,1,42,332620.86,correct=Some(true)
static,hotspot,1000,1,42,31662.12,correct=Some(true)
optimistic,hotspot,1000,1,42,225452.10,correct=Some(true)
sequential,zipfian,1000,1,42,356032.80,correct=Some(true)
static,zipfian,1000,1,42,78026.50,correct=Some(true)
optimistic,zipfian,1000,1,42,227336.07,correct=Some(true)
sequential,token-transfer,1000,1,42,308006.85,correct=Some(true)
static,token-transfer,1000,1,42,181278.73,correct=Some(true)
optimistic,token-transfer,1000,1,42,252544.38,correct=Some(true)
sequential,private-state,1000,1,42,311320.97,correct=Some(true)
static,private-state,1000,1,42,27343.32,correct=Some(true)
optimistic,private-state,1000,1,42,204420.64,correct=Some(true)
sequential,no-conflict,1000,1,43,309351.29,correct=Some(true)
static,no-conflict,1000,1,43,224700.32,correct=Some(true)
optimistic,no-conflict,1000,1,43,272101.88,correct=Some(true)
sequential,hotspot,1000,1,43,373729.65,correct=Some(true)
static,hotspot,1000,1,43,32358.80,correct=Some(true)
optimistic,hotspot,1000,1,43,222626.36,correct=Some(true)
sequential,zipfian,1000,1,43,345750.98,correct=Some(true)
static,zipfian,1000,1,43,75702.93,correct=Some(true)
optimistic,zipfian,1000,1,43,226978.64,correct=Some(true)
sequential,token-transfer,1000,1,43,307874.76,correct=Some(true)
static,token-transfer,1000,1,43,177514.49,correct=Some(true)
optimistic,token-transfer,1000,1,43,250940.27,correct=Some(true)
sequential,private-state,1000,1,43,319239.24,correct=Some(true)
static,private-state,1000,1,43,26841.71,correct=Some(true)
optimistic,private-state,1000,1,43,202167.64,correct=Some(true)
sequential,no-conflict,1000,1,44,306528.07,correct=Some(true)
static,no-conflict,1000,1,44,209554.38,correct=Some(true)
optimistic,no-conflict,1000,1,44,263428.32,correct=Some(true)
sequential,hotspot,1000,1,44,367816.23,correct=Some(true)
static,hotspot,1000,1,44,31686.48,correct=Some(true)
optimistic,hotspot,1000,1,44,214116.07,correct=Some(true)
sequential,zipfian,1000,1,44,346007.23,correct=Some(true)
static,zipfian,1000,1,44,74548.90,correct=Some(true)
optimistic,zipfian,1000,1,44,228014.08,correct=Some(true)
sequential,token-transfer,1000,1,44,305911.62,correct=Some(true)
static,token-transfer,1000,1,44,178567.00,correct=Some(true)
optimistic,token-transfer,1000,1,44,248083.80,correct=Some(true)
sequential,private-state,1000,1,44,319550.69,correct=Some(true)
static,private-state,1000,1,44,27067.80,correct=Some(true)
optimistic,private-state,1000,1,44,212825.64,correct=Some(true)
sequential,no-conflict,1000,2,42,304963.68,correct=Some(true)
static,no-conflict,1000,2,42,241957.05,correct=Some(true)
optimistic,no-conflict,1000,2,42,300093.12,correct=Some(true)
sequential,hotspot,1000,2,42,371121.55,correct=Some(true)
static,hotspot,1000,2,42,30375.18,correct=Some(true)
optimistic,hotspot,1000,2,42,242595.85,correct=Some(true)
sequential,zipfian,1000,2,42,347283.60,correct=Some(true)
static,zipfian,1000,2,42,69098.47,correct=Some(true)
optimistic,zipfian,1000,2,42,265300.83,correct=Some(true)
sequential,token-transfer,1000,2,42,297300.69,correct=Some(true)
static,token-transfer,1000,2,42,197838.38,correct=Some(true)
optimistic,token-transfer,1000,2,42,301758.16,correct=Some(true)
sequential,private-state,1000,2,42,315702.41,correct=Some(true)
static,private-state,1000,2,42,26147.41,correct=Some(true)
optimistic,private-state,1000,2,42,232309.24,correct=Some(true)
sequential,no-conflict,1000,2,43,302209.67,correct=Some(true)
static,no-conflict,1000,2,43,244572.63,correct=Some(true)
optimistic,no-conflict,1000,2,43,301717.74,correct=Some(true)
sequential,hotspot,1000,2,43,370559.90,correct=Some(true)
static,hotspot,1000,2,43,30556.55,correct=Some(true)
optimistic,hotspot,1000,2,43,263014.00,correct=Some(true)
sequential,zipfian,1000,2,43,343600.10,correct=Some(true)
static,zipfian,1000,2,43,75480.58,correct=Some(true)
optimistic,zipfian,1000,2,43,272573.37,correct=Some(true)
sequential,token-transfer,1000,2,43,305417.56,correct=Some(true)
static,token-transfer,1000,2,43,206806.88,correct=Some(true)
optimistic,token-transfer,1000,2,43,300711.36,correct=Some(true)
sequential,private-state,1000,2,43,312956.04,correct=Some(true)
static,private-state,1000,2,43,26049.20,correct=Some(true)
optimistic,private-state,1000,2,43,215272.69,correct=Some(true)
sequential,no-conflict,1000,2,44,302457.28,correct=Some(true)
static,no-conflict,1000,2,44,244579.51,correct=Some(true)
optimistic,no-conflict,1000,2,44,301848.06,correct=Some(true)
sequential,hotspot,1000,2,44,362839.70,correct=Some(true)
static,hotspot,1000,2,44,30117.90,correct=Some(true)
optimistic,hotspot,1000,2,44,268962.17,correct=Some(true)
sequential,zipfian,1000,2,44,351853.87,correct=Some(true)
static,zipfian,1000,2,44,67351.64,correct=Some(true)
optimistic,zipfian,1000,2,44,270180.82,correct=Some(true)
sequential,token-transfer,1000,2,44,303922.55,correct=Some(true)
static,token-transfer,1000,2,44,199782.48,correct=Some(true)
optimistic,token-transfer,1000,2,44,280493.50,correct=Some(true)
sequential,private-state,1000,2,44,329404.09,correct=Some(true)
static,private-state,1000,2,44,25872.39,correct=Some(true)
optimistic,private-state,1000,2,44,213503.22,correct=Some(true)
sequential,no-conflict,1000,4,42,306156.25,correct=Some(true)
static,no-conflict,1000,4,42,253658.32,correct=Some(true)
optimistic,no-conflict,1000,4,42,337520.73,correct=Some(true)
sequential,hotspot,1000,4,42,363746.94,correct=Some(true)
static,hotspot,1000,4,42,28401.22,correct=Some(true)
optimistic,hotspot,1000,4,42,269441.77,correct=Some(true)
sequential,zipfian,1000,4,42,346808.10,correct=Some(true)
static,zipfian,1000,4,42,73584.52,correct=Some(true)
optimistic,zipfian,1000,4,42,289021.52,correct=Some(true)
sequential,token-transfer,1000,4,42,305251.80,correct=Some(true)
static,token-transfer,1000,4,42,204839.04,correct=Some(true)
optimistic,token-transfer,1000,4,42,312892.78,correct=Some(true)
sequential,private-state,1000,4,42,316571.30,correct=Some(true)
static,private-state,1000,4,42,25113.97,correct=Some(true)
optimistic,private-state,1000,4,42,227274.95,correct=Some(true)
sequential,no-conflict,1000,4,43,300728.09,correct=Some(true)
static,no-conflict,1000,4,43,257778.60,correct=Some(true)
optimistic,no-conflict,1000,4,43,347187.14,correct=Some(true)
sequential,hotspot,1000,4,43,368522.71,correct=Some(true)
static,hotspot,1000,4,43,28350.57,correct=Some(true)
optimistic,hotspot,1000,4,43,255736.36,correct=Some(true)
sequential,zipfian,1000,4,43,321857.61,correct=Some(true)
static,zipfian,1000,4,43,65652.99,correct=Some(true)
optimistic,zipfian,1000,4,43,289771.92,correct=Some(true)
sequential,token-transfer,1000,4,43,303672.71,correct=Some(true)
static,token-transfer,1000,4,43,203908.44,correct=Some(true)
optimistic,token-transfer,1000,4,43,311160.45,correct=Some(true)
sequential,private-state,1000,4,43,330560.37,correct=Some(true)
static,private-state,1000,4,43,25618.02,correct=Some(true)
optimistic,private-state,1000,4,43,239788.89,correct=Some(true)
sequential,no-conflict,1000,4,44,302885.56,correct=Some(true)
static,no-conflict,1000,4,44,250785.46,correct=Some(true)
optimistic,no-conflict,1000,4,44,335298.97,correct=Some(true)
sequential,hotspot,1000,4,44,362151.02,correct=Some(true)
static,hotspot,1000,4,44,28417.97,correct=Some(true)
optimistic,hotspot,1000,4,44,267566.19,correct=Some(true)
sequential,zipfian,1000,4,44,343851.76,correct=Some(true)
static,zipfian,1000,4,44,71688.60,correct=Some(true)
optimistic,zipfian,1000,4,44,293948.11,correct=Some(true)
sequential,token-transfer,1000,4,44,299086.17,correct=Some(true)
static,token-transfer,1000,4,44,213533.82,correct=Some(true)
optimistic,token-transfer,1000,4,44,307896.09,correct=Some(true)
sequential,private-state,1000,4,44,320343.61,correct=Some(true)
static,private-state,1000,4,44,24628.37,correct=Some(true)
optimistic,private-state,1000,4,44,227775.70,correct=Some(true)
sequential,no-conflict,1000,8,42,302635.41,correct=Some(true)
static,no-conflict,1000,8,42,268824.94,correct=Some(true)
optimistic,no-conflict,1000,8,42,363020.94,correct=Some(true)
sequential,hotspot,1000,8,42,360977.60,correct=Some(true)
static,hotspot,1000,8,42,28205.36,correct=Some(true)
optimistic,hotspot,1000,8,42,271744.74,correct=Some(true)
sequential,zipfian,1000,8,42,350523.23,correct=Some(true)
static,zipfian,1000,8,42,68410.74,correct=Some(true)
optimistic,zipfian,1000,8,42,282001.93,correct=Some(true)
sequential,token-transfer,1000,8,42,285234.52,correct=Some(true)
static,token-transfer,1000,8,42,211580.43,correct=Some(true)
optimistic,token-transfer,1000,8,42,317429.38,correct=Some(true)
sequential,private-state,1000,8,42,324967.58,correct=Some(true)
static,private-state,1000,8,42,25211.85,correct=Some(true)
optimistic,private-state,1000,8,42,248234.49,correct=Some(true)
sequential,no-conflict,1000,8,43,303081.46,correct=Some(true)
static,no-conflict,1000,8,43,270040.15,correct=Some(true)
optimistic,no-conflict,1000,8,43,362893.03,correct=Some(true)
sequential,hotspot,1000,8,43,370506.77,correct=Some(true)
static,hotspot,1000,8,43,28230.64,correct=Some(true)
optimistic,hotspot,1000,8,43,276204.18,correct=Some(true)
