run_id,seed,executor,workload,block_size,num_accounts,threads,compute_cost,skew,elapsed_ns,throughput_tps,scheduling_ns,execution_ns,validation_ns,commit_ns,conflicts_detected,reexecutions,accepted_txs,rejected_txs,final_state_hash,correct_vs_sequential
0-no-conflict-sequential-1-1000,42,sequential,no-conflict,1000,10000,1,1000,1.1,3703660,270003.1860375952,0,1423602,0,410736,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
0-no-conflict-static-1-1000,42,static,no-conflict,1000,10000,1,1000,1.1,5481381,182435.77667744682,932109,2020974,0,439127,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
0-no-conflict-optimistic-1-1000,42,optimistic,no-conflict,1000,10000,1,1000,1.1,3914923,255432.8654739825,0,1538284,108417,409597,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
0-hotspot-sequential-1-1000,42,sequential,hotspot,1000,10000,1,1000,1.1,3006426,332620.8594523863,0,1451754,0,274615,0,0,1000,0,fe6aaced548ad54177e227a11b5cd72356b5a582bbabda1e936fef246ee999f6,true
0-hotspot-static-1-1000,42,static,hotspot,1000,10000,1,1000,1.1,31583487,31662.11507931344,616240,2151403,0,504583,5994,0,1000,0,fe6aaced548ad54177e227a11b5cd72356b5a582bbabda1e936fef246ee999f6,true
0-hotspot-optimistic-1-1000,42,optimistic,hotspot,1000,10000,1,1000,1.1,4435532,225452.09909431383,0,2879080,123265,250919,0,999,1000,0,fe6aaced548ad54177e227a11b5cd72356b5a582bbabda1e936fef246ee999f6,true
0-zipfian-sequential-1-1000,42,sequential,zipfian,1000,10000,1,1000,1.1,2808730,356032.7977413279,0,1529930,0,283938,0,0,1000,0,c3e8ee121049859902fb9efc902b1f1f9ff3b1519dc3f50144655d369eb38267,true
0-zipfian-static-1-1000,42,static,zipfian,1000,10000,1,1000,1.1,12816159,78026.49764254641,913112,1933610,0,425912,1269,0,1000,0,c3e8ee121049859902fb9efc902b1f1f9ff3b1519dc3f50144655d369eb38267,true
0-zipfian-optimistic-1-1000,42,optimistic,zipfian,1000,10000,1,1000,1.1,4398774,227336.07136897687,0,2748583,134351,268455,0,872,1000,0,c3e8ee121049859902fb9efc902b1f1f9ff3b1519dc3f50144655d369eb38267,true
0-token-transfer-sequential-1-1000,42,sequential,token-transfer,1000,10000,1,1000,1.1,3246681,308006.85376851005,0,1591424,0,368742,0,0,1000,0,bbcfa924be04469e9cb0ccceeecc20cf11147b9785cdd1365f998ec6c6cd6019,true
