run_id,seed,executor,workload,block_size,num_accounts,threads,compute_cost,skew,elapsed_ns,throughput_tps,scheduling_ns,execution_ns,validation_ns,commit_ns,conflicts_detected,reexecutions,accepted_txs,rejected_txs,final_state_hash,correct_vs_sequential
0-no-conflict-sequential-1-1000,42,sequential,no-conflict,1000,10000,1,1000,1.1,4139250,241589.65996255362,0,1892335,0,613464,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
0-no-conflict-static-1-1000,42,static,no-conflict,1000,10000,1,1000,1.1,3723833,268540.50651573256,810916,1329794,0,381218,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
0-no-conflict-optimistic-1-1000,42,optimistic,no-conflict,1000,10000,1,1000,1.1,3179500,314514.8608271741,0,1170264,96015,414417,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
0-hotspot-sequential-1-1000,42,sequential,hotspot,1000,10000,1,1000,1.1,2171125,460590.70758247457,0,1223970,0,165904,0,0,1000,0,fe6aaced548ad54177e227a11b5cd72356b5a582bbabda1e936fef246ee999f6,true
0-hotspot-static-1-1000,42,static,hotspot,1000,10000,1,1000,1.1,35105959,28485.192499655117,448000,1892106,0,409912,5994,0,1000,0,fe6aaced548ad54177e227a11b5cd72356b5a582bbabda1e936fef246ee999f6,true
0-hotspot-optimistic-1-1000,42,optimistic,hotspot,1000,10000,1,1000,1.1,3680250,271720.67115005775,0,2484027,73633,180234,0,999,1000,0,fe6aaced548ad54177e227a11b5cd72356b5a582bbabda1e936fef246ee999f6,true
0-zipfian-sequential-1-1000,42,sequential,zipfian,1000,10000,1,1000,1.1,2313625,432222.1621913663,0,1273421,0,197012,0,0,1000,0,c3e8ee121049859902fb9efc902b1f1f9ff3b1519dc3f50144655d369eb38267,true
0-zipfian-static-1-1000,42,static,zipfian,1000,10000,1,1000,1.1,17635875,56702.60194064656,755541,1904316,0,639369,1269,0,1000,0,c3e8ee121049859902fb9efc902b1f1f9ff3b1519dc3f50144655d369eb38267,true
0-zipfian-optimistic-1-1000,42,optimistic,zipfian,1000,10000,1,1000,1.1,3673834,272195.20533589704,0,2393232,82277,216706,0,872,1000,0,c3e8ee121049859902fb9efc902b1f1f9ff3b1519dc3f50144655d369eb38267,true
0-token-transfer-sequential-1-1000,42,sequential,token-transfer,1000,10000,1,1000,1.1,4413292,226588.22484440185,0,1485627,0,276147,0,0,1000,0,bbcfa924be04469e9cb0ccceeecc20cf11147b9785cdd1365f998ec6c6cd6019,true
