environment,executor,workload,block_size,threads,mean_throughput_tps,mean_elapsed_ms,runs,all_correct
kabre,optimistic,hotspot,1000,1,220731.51,4.5326,3,True
kabre,optimistic,hotspot,1000,2,258190.67,3.8807,3,True
kabre,optimistic,hotspot,1000,4,264248.11,3.7863,3,True
kabre,optimistic,hotspot,1000,8,272138.63,3.6751,3,True
kabre,optimistic,hotspot,1000,16,287642.37,3.4798,3,True
kabre,optimistic,hotspot,1000,32,232262.68,4.3151,3,True
kabre,optimistic,hotspot,1000,36,214699.67,4.6754,3,True
kabre,optimistic,hotspot,5000,1,235782.73,21.2075,3,True
kabre,optimistic,hotspot,5000,2,338429.17,14.7744,3,True
kabre,optimistic,hotspot,5000,4,373096.48,13.4161,3,True
kabre,optimistic,hotspot,5000,8,400225.55,12.4946,3,True
kabre,optimistic,hotspot,5000,16,408925.37,12.2281,3,True
kabre,optimistic,hotspot,5000,32,397053.33,12.5941,3,True
kabre,optimistic,hotspot,5000,36,390281.57,12.8115,3,True
kabre,optimistic,no-conflict,1000,1,263654.36,3.7954,3,True
kabre,optimistic,no-conflict,1000,2,301219.64,3.3199,3,True
kabre,optimistic,no-conflict,1000,4,340002.28,2.9418,3,True
kabre,optimistic,no-conflict,1000,8,360679.69,2.7728,3,True
kabre,optimistic,no-conflict,1000,16,353443.26,2.8307,3,True
kabre,optimistic,no-conflict,1000,32,255748.11,4.0214,3,True
kabre,optimistic,no-conflict,1000,36,286516.95,3.4980,3,True
kabre,optimistic,no-conflict,5000,1,276409.71,18.1330,3,True
kabre,optimistic,no-conflict,5000,2,426912.49,11.7159,3,True
kabre,optimistic,no-conflict,5000,4,493813.98,10.1315,3,True
kabre,optimistic,no-conflict,5000,8,545676.27,9.1762,3,True
kabre,optimistic,no-conflict,5000,16,577100.47,8.6659,3,True
kabre,optimistic,no-conflict,5000,32,537036.77,9.3389,3,True
kabre,optimistic,no-conflict,5000,36,513623.36,9.7353,3,True
kabre,optimistic,private-state,1000,1,206471.31,4.8456,3,True
