executor,workload,block_size,threads,mean_elapsed_ms,mean_throughput_tps,mean_reexecutions,runs,all_correct
optimistic,hotspot,1000,1,3.7098,269870.07,999.00,3,True
optimistic,hotspot,1000,2,3.1173,320805.07,999.00,3,True
optimistic,hotspot,1000,4,2.8743,348053.72,999.00,3,True
optimistic,hotspot,1000,8,3.2155,314469.23,999.00,3,True
optimistic,hotspot,5000,1,15.5384,321998.31,4999.00,3,True
optimistic,hotspot,5000,2,14.0280,362604.86,4999.00,3,True
optimistic,hotspot,5000,4,11.2733,443651.80,4999.00,3,True
optimistic,hotspot,5000,8,10.6454,469884.59,4999.00,3,True
optimistic,no-conflict,1000,1,3.5516,298344.45,0.00,3,True
optimistic,no-conflict,1000,2,2.9246,364545.91,0.00,3,True
optimistic,no-conflict,1000,4,2.0288,493780.03,0.00,3,True
optimistic,no-conflict,1000,8,2.1856,459399.22,0.00,3,True
optimistic,no-conflict,5000,1,12.1768,412151.05,0.00,3,True
optimistic,no-conflict,5000,2,9.0207,554663.54,0.00,3,True
optimistic,no-conflict,5000,4,7.7817,644603.88,0.00,3,True
optimistic,no-conflict,5000,8,7.1066,704144.54,0.00,3,True
optimistic,private-state,1000,1,5.0317,217242.18,999.00,3,True
optimistic,private-state,1000,2,3.7732,265060.39,999.00,3,True
optimistic,private-state,1000,4,3.1380,319792.32,999.00,3,True
optimistic,private-state,1000,8,3.2364,309253.69,999.00,3,True
optimistic,private-state,5000,1,17.4738,286609.15,4999.00,3,True
optimistic,private-state,5000,2,14.6239,344237.28,4999.00,3,True
optimistic,private-state,5000,4,12.5013,400038.35,4999.00,3,True
optimistic,private-state,5000,8,11.8798,421191.20,4999.00,3,True
optimistic,token-transfer,1000,1,3.6177,294512.42,171.33,3,True
optimistic,token-transfer,1000,2,2.4720,404839.25,171.33,3,True
optimistic,token-transfer,1000,4,2.2675,441485.14,171.33,3,True
optimistic,token-transfer,1000,8,2.3251,431649.58,171.33,3,True
optimistic,token-transfer,5000,1,14.4234,346761.16,2804.33,3,True
